ip,port,protocol,anonymity,lastTested,allowsRefererHeader,allowsUserAgentHeader,allowsCustomHeaders,allowsCookies,allowsPost,allowsHttps,country,connectTime,downloadSpeed,secondsToFirstByte,uptime
159.112.235.188,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.045,3426,0.062,99.993
141.193.213.205,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.067,2402,0.088,99.994
66.235.200.71,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.17,1105,0.191,99.995
66.235.200.155,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.222,888,0.234,99.997
141.193.213.117,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.287,568,0.371,99.993
159.112.235.113,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.046,2824,0.074,99.997
63.141.128.200,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.026,4976,0.042,99.997
159.112.235.236,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.032,3943,0.054,99.998
63.141.128.115,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.309,647,0.324,99.997
159.112.235.240,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.122,1529,0.136,99.995
66.235.200.102,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.036,4160,0.051,99.996
63.141.128.173,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.142,1298,0.161,99.997
66.235.200.89,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.029,4354,0.049,99.997
141.193.213.53,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.132,1412,0.148,99.994
66.235.200.178,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.049,3215,0.065,99.999
63.141.128.108,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.043,3732,0.056,99.998
63.141.128.131,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.209,905,0.233,99.996
159.112.235.189,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.158,1180,0.178,99.995
63.141.128.101,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.107,1595,0.132,99.997
66.235.200.84,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.03,3924,0.053,99.994
159.112.235.201,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.338,483,0.432,99.999
159.112.235.102,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.205,928,0.225,99.997
66.235.200.62,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.139,1298,0.161,99.994
141.193.213.59,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.066,2189,0.084,99.991
141.193.213.52,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.033,4038,0.052,99.993
63.141.128.240,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.088,2000,0.104,99.995
66.235.200.96,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.065,2645,0.079,99.998
66.235.200.207,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.015,6117,0.035,99.997
66.235.200.239,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.155,1250,0.168,99.997
141.193.213.126,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.012,7740,0.027,99.993
141.193.213.123,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.039,1093,0.193,99.992
66.235.200.185,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.062,2363,0.089,99.997
66.235.200.17,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.041,2236,0.093,99.995
66.235.200.47,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.138,1339,0.156,99.995
141.193.213.87,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.154,1088,0.192,99.994
141.193.213.237,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.251,760,0.275,99.992
159.112.235.146,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.445,447,0.467,99.996
63.141.128.42,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.145,1000,0.209,99.997
159.112.235.8,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.301,597,0.349,99.996
141.193.213.154,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.152,1172,0.18,99.993
66.235.200.173,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.151,1253,0.166,99.994
159.112.235.37,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.156,1201,0.174,99.999
63.141.128.185,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.178,1050,0.201,99.996
159.112.235.126,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.028,4543,0.046,99.997
63.141.128.22,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.133,1414,0.147,99.996
66.235.200.44,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.172,1044,0.201,99.996
159.112.235.59,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.154,1179,0.178,99.996
141.193.213.58,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.016,6028,0.035,99.991
159.112.235.46,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.274,724,0.29,99.996
